name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Visions of Gideon,Call Me By Your Name (Original Motion Picture Soundtrack),Various Artists,0SUDiaR0qm30fXVGPjPvRp,2017-11-03,70,247808,0.252,0.942,0.314,0.676,0.0892,0.2,-18.197,0.0407,75.056,5,4
Slow,Slow,SHY Martin,1Ia95g66IhlAJ3qVI4qI8W,2020-01-10,68,163547,0.636,0.815,0.243,0.0,0.111,0.239,-9.509,0.04,142.016,2,4
porcelain,porcelain,mxmtoon,4lHWJzg0CnzwquqwxS9sIl,2018-12-04,0,271914,0.569,0.883,0.108,0.0,0.112,0.181,-15.855,0.035,110.421,9,4
Let Somebody Go,Music Of The Spheres,Coldplay,4cGqn0E8JCSY9gQllQj4Mf,2021-10-15,84,241595,0.592,0.193,0.342,0.00245,0.11,0.155,-8.93,0.0339,130.953,0,4
brokenhearted (together),brokenhearted (together),joan,45BmSERHSfZFaLH9oWtA1e,2021-02-11,50,212093,0.614,0.0296,0.622,0.0,0.659,0.539,-8.264,0.0312,148.959,10,4
Django,Django,Samia,7n8oAD5lFVciTlfPAChrCr,2018-02-16,52,204285,0.558,0.799,0.136,0.0,0.1,0.141,-11.731,0.0337,80.259,8,4
I Found - Acoustic,Pilot EP,Amber Run,3i7Iyc932rv1AZz7gl7dj8,2014-09-21,63,259480,0.386,0.957,0.0887,0.0,0.126,0.274,-11.166,0.0512,171.234,7,3
Island,Island,WYLDE,7AQZiIh2HMDwqGm9AQy96k,2020-11-20,51,135485,0.326,0.897,0.445,0.00631,0.101,0.389,-9.797,0.0905,179.677,7,4
Feel Like Home,Feel Like Home,Emmanuel Franco,4cPsK6f8ErDfqVNwJkSiKq,2020-11-18,51,199519,0.478,0.576,0.566,0.000142,0.448,0.413,-10.526,0.0396,75.918,7,4
pictures feat. Kacey Musgraves,Pep Talks,Judah & the Lion,1zZIVe9x0JhdhpuQjLTjIM,2019-08-07,54,253868,0.567,0.309,0.542,0.000342,0.0734,0.229,-6.64,0.0309,125.16,2,4
It Only Gets Much Worse,Grand Romantic,Nate Ruess,61IsztUa3EPy7L0VyfUCAg,2015-06-12,46,257973,0.59,0.764,0.306,0.0,0.148,0.316,-4.953,0.0299,142.418,7,4
If By Chance,Safe Haven,Ruth B.,21dpBHPTV7ythCHBI6Slcw,2017-05-05,73,303653,0.405,0.881,0.279,0.0,0.0933,0.256,-8.099,0.0334,119.85,10,4
Dionne,Dionne,Katelyn Tarver,2lKVd2seyW6OUlMtdPaG5H,2020-12-18,48,221943,0.492,0.299,0.347,0.0,0.155,0.157,-7.513,0.0399,149.913,1,4
Not Me That You're Thinking 'Bout,Not Me That You're Thinking 'Bout,Tate Brusa,16u0ZLBYb1eQiPtt32QMU0,2020-11-21,48,271285,0.573,0.776,0.303,0.000243,0.0745,0.234,-11.68,0.0457,140.175,1,4
Swollen (feat. Julia Gargano),Swollen (feat. Julia Gargano),Francisco Martin,1XZG6gPL5pKw7MLRXCK1yX,2020-12-04,52,230917,0.447,0.837,0.376,0.000222,0.116,0.219,-9.262,0.0316,140.757,10,4
All Good,hemispheres,Garrett Kato,1DMB324qRaRdBhykzbE8Ts,2020-12-04,54,211133,0.493,0.898,0.157,1.89e-06,0.111,0.125,-14.186,0.0405,134.192,0,4
Heart Like Yours,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,Various Artists,6yaHCAtl9kA0K3FMumR2ph,2014-08-19,0,200560,0.497,0.879,0.259,0.0,0.102,0.338,-9.782,0.033,140.117,7,3
Latest Ghost - Piano Version,Ghost World (Piano Versions),Lauren Aquilina,5dQfHH55X0f2nfu9HvvRtz,2020-12-18,48,171438,0.408,0.632,0.247,0.0,0.0857,0.194,-11.063,0.0328,90.845,3,3
Us Against the World,Mylo Xyloto,Coldplay,5zyfzNnBzN7f7PVkJFnW2g,2011-10-24,58,239767,0.507,0.845,0.304,1.03e-05,0.0741,0.195,-11.096,0.0278,112.371,0,3
You Don't Know How Lucky You Are,Dear,Keaton Henson,7L4w1yQnlhqo4oUjpW53wz,2010,55,228080,0.389,0.772,0.314,0.576,0.109,0.107,-8.559,0.0345,95.641,2,4
Love In The Dark,25,Adele,0DuWDLjriRPjDRoPgaCslY,2015-11-20,84,285935,0.331,0.528,0.341,0.0,0.109,0.152,-6.057,0.0309,109.821,9,4
With You,Better Strange,James Supercave,1873mxP6LJgMXiRvtMbhSX,2016-01-01,0,231760,0.318,0.894,0.138,0.322,0.0861,0.103,-13.81,0.0298,74.388,5,3
Thinking 'Bout Love - Acoustic,Thinking 'Bout Love (Acoustic),Wild Rivers,3UOvd4bfGqepCVx4EJLy57,2020-08-14,1,184064,0.684,0.846,0.173,0.0,0.162,0.358,-13.535,0.0595,137.742,5,4
XO,XO,John Mayer,7cpCU3Denug5NGZsSpQl8v,2014-05-27,72,213626,0.431,0.749,0.377,0.0,0.211,0.353,-9.753,0.0288,173.67,2,4
i hate you for this,i hate you for this,Munn,4pVqrsykRGIyicylgR2gIx,2021-02-11,56,137532,0.543,0.665,0.511,0.0,0.302,0.373,-7.867,0.123,80.643,1,4
Misunderstood,Honeymoon Phase,OSKA,1wiw9ZdiSm3PZfdZqCzb0A,2021-01-08,43,198048,0.673,0.855,0.199,2.02e-05,0.36,0.228,-12.351,0.0387,123.038,4,4
Everybody But Me,Everybody But Me,Nick Wilson,4HzmjPPHHiYwrXPq9Tv1fx,2020-08-28,58,184633,0.659,0.0698,0.571,0.0,0.107,0.21,-5.654,0.0371,122.949,1,4
It Will Rain,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),Various Artists,0RUGuh2uSNFJpGMSsD1F5C,2011-11-04,72,257720,0.576,0.337,0.835,0.0,0.082,0.476,-6.826,0.0486,150.017,2,4
December,December,Gabrielle Aplin,2GC4425uv5kHJzTueFnzlW,2018-12-04,46,260693,0.299,0.112,0.369,0.000763,0.0892,0.232,-8.665,0.0317,138.885,5,3
feelings fade,me,Garrett Nash,4jnO4ztskhv3YkqgFnewtD,2015-12-25,62,240000,0.654,0.819,0.235,0.0,0.0891,0.061,-11.292,0.159,88.903,2,4
Perfectly Wrong,Shawn Mendes,Shawn Mendes,6nat4Z7iRKWVk1qngQqI0Q,2018-05-25,69,212773,0.361,0.872,0.311,0.0,0.0987,0.323,-11.748,0.0369,89.362,2,4
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,43zdsphuZLzwA9k4DJhU0I,2019-03-29,84,196077,0.367,0.978,0.111,3.97e-05,0.0897,0.198,-14.084,0.0972,82.642,4,4
She's Gone,She's Gone,Vwillz,1Q7HO1L7KO46VlMH8C3Abh,2021-01-29,53,224390,0.64,0.476,0.424,0.0,0.0851,0.387,-11.221,0.0378,123.006,2,4
How To Lose a Girl,How To Lose a Girl,Tyler Ward,3gQOsy9X4czsQs7DTyzbuU,2019-01-25,0,210375,0.7,0.553,0.454,0.0022,0.121,0.34,-10.39,0.0388,80.011,7,3
Favourite Ex,Favourite Ex,Maisie Peters,1a1SQeSqUKzH5OUVTEx4ae,2019-04-12,66,201694,0.396,0.718,0.177,0.0,0.139,0.221,-10.277,0.0378,177.215,5,3
I Fall Apart,Stoney (Deluxe),Post Malone,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,82,223346,0.556,0.0689,0.538,0.0,0.196,0.291,-5.408,0.0382,143.95,8,4
Wasted,MKTO,MKTO,5tajmvqHF6YW1iiUFzKpCB,2012,65,184213,0.313,0.787,0.429,0.0,0.0863,0.416,-7.415,0.0343,77.27,6,4
Jealous,Jealous,Labrinth,4L2K7JKseFCBoHMZEAszW0,2014-11-21,7,287693,0.439,0.874,0.153,0.0,0.107,0.104,-8.95,0.0479,116.76,1,3
Out Of Love,The Pains Of Growing,Alessia Cara,4WzhjxvLP95y7AMDy0Atwb,2018-11-30,78,227693,0.481,0.8,0.267,0.0,0.249,0.137,-9.249,0.0339,117.64,7,3
"Flightless Bird, American Mouth",The Shepherd's Dog,Iron & Wine,6iWwfN1euztxZi1OK38HbU,2007-09-25,0,242226,0.359,0.795,0.391,0.0708,0.163,0.19,-8.034,0.026,154.66,3,3
Only Love,Every Kingdom (Deluxe Version),Ben Howard,3MdYFBIzPf7lSJnI8wi3Ka,2011-01-01,0,249173,0.547,0.336,0.49,0.00174,0.118,0.365,-9.891,0.137,80.305,8,4
Coping,Coping,Rosie Darling,0RjKWagIjeOoxpsiCT4gls,2020-11-06,2,190266,0.502,0.613,0.444,0.0,0.103,0.196,-7.294,0.116,157.604,6,4
The Fault in Our Stars,The Fault in Our Stars,Troye Sivan,6LteLVcW0oWLjuW6nePyWb,2013-05-05,65,187194,0.481,0.613,0.179,2.84e-05,0.145,0.405,-21.424,0.109,74.85,3,4
Better Off,Better Off,Trousdale,20mb9SDTZugEbNwU5knL58,2021-02-26,48,226153,0.412,0.77,0.285,0.0,0.13,0.191,-8.031,0.0268,51.988,5,4
Train Wreck,Back from the Edge,James Arthur,55Am8neGJkdj2ADaM3aw5H,2016-10-28,84,208826,0.311,0.701,0.485,0.0,0.0726,0.225,-5.726,0.0365,77.355,6,4
Half a Heart,Midnight Memories (Deluxe),One Direction,6nIE1oCE4udqMGv3bqVNVb,2013-11-25,70,188546,0.515,0.286,0.714,0.0,0.118,0.495,-4.516,0.0348,155.954,0,4
Love Story,Love Story,Taylor Swift,1JR0kZfJpeNPJKo4HhdQJP,2008-09-12,0,234746,0.621,0.0218,0.63,6e-05,0.22,0.285,-5.412,0.0288,119.053,2,4
I Just Don't Think I'll Ever Get Over You,Transcendental Highway,Colin Hay,2IR01O6kw4IB68hcV9FWYN,2009-04-21,52,328560,0.542,0.84,0.124,0.0878,0.101,0.264,-19.375,0.0341,79.258,0,4
When I Let Go,Borders,Fay Wildhagen,1knbAQeG852S5ebxsfYIao,2018-09-21,50,235920,0.218,0.464,0.412,0.00487,0.0539,0.128,-9.058,0.0361,111.873,8,4
The Only,The Only,Sasha Alex Sloan,4VrUT6GeeSRz6MB8tWJSHM,2018-09-06,55,217167,0.684,0.743,0.259,0.0,0.0751,0.0515,-11.053,0.049,138.014,4,4
The Way I Say Goodbye,Not Afraid to Say Goodbye,Emily Weisband,6ZV6lI92ypdfjeGgDQc5Mm,2020-11-13,52,184293,0.44,0.933,0.0942,0.0,0.104,0.388,-11.182,0.0365,142.388,5,3
Trampoline - Acoustic,Trampoline (Acoustic),Highland Peak,72xTsTouZ5nBmASX8k1XCW,2019-11-22,52,213098,0.596,0.91,0.2,0.000183,0.0884,0.308,-10.424,0.0305,107.893,0,4
Can I Be Him,Back from the Edge,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,2016-10-28,78,246880,0.696,0.308,0.543,0.0,0.0939,0.479,-6.164,0.0489,107.969,11,4
Never Be Alone,Never Be Alone,Shawn Mendes,2K4qtTAE8fjFaIUBFTuj1a,2015-02-16,0,215840,0.363,0.547,0.466,4.46e-05,0.0828,0.308,-6.963,0.0347,200.24,10,4
Almost Is Never Enough,Yours Truly,Ariana Grande,63bo7NDoWdMFXufhsYOxwG,2013-01-01,59,327773,0.323,0.824,0.327,0.0,0.101,0.335,-7.494,0.0411,81.329,2,4
Time Out,Time Out,AJ Wander,08e9dUkEQMYCrtvoeZhqhP,2020-11-05,46,188395,0.626,0.196,0.53,2.12e-06,0.119,0.304,-9.095,0.0659,150.002,7,4
Loneliness,Loneliness,Kevin Paris,38YUiPZdeg1DDX8d6eV5Gi,2020-07-23,49,286250,0.524,0.924,0.147,0.000149,0.111,0.29,-15.185,0.0408,144.057,8,3
Primrose Hill (Notes from California),Primrose Hill (Notes from California),Max Jury,0oZFVDUOAOYMIkUqEEZlF4,2018-12-07,0,208853,0.781,0.58,0.224,2.95e-05,0.0805,0.386,-11.494,0.0328,115.991,10,4
Break My Heart - Piano Acoustic,Break My Heart (Piano Acoustic),JC Stewart,7e5HVLu9xSydLebKSqBebM,2021-02-12,56,218293,0.448,0.943,0.247,3.61e-05,0.109,0.276,-10.454,0.0466,134.5,6,4
Close To You,ANTI (Deluxe),Rihanna,6D2tzc8kRnZb7P1lNwMBLH,2016-01-28,67,223213,0.494,0.895,0.17,0.0,0.139,0.145,-11.368,0.0337,80.098,10,4
Lost Boy,Lost Boy,Ruth B.,4h0zU3O9R5xzuTmNO7dNDU,2015-08-21,76,275280,0.71,0.965,0.0565,0.0,0.0889,0.348,-15.099,0.0534,123.994,7,4
The Scientist,A Rush of Blood to the Head,Coldplay,75JFxkI2RXiU7L9VXzMkle,2002-08-08,85,309600,0.557,0.731,0.442,1.46e-05,0.11,0.213,-7.224,0.0243,146.277,5,4
Tee Shirt - Soundtrack Version,Tee Shirt,Birdy,3C5in0EVdoGepp5bA6lhlE,2014-05-13,62,159506,0.684,0.837,0.341,2.69e-05,0.0883,0.557,-9.497,0.0272,75.948,9,4
Wrecked,Wrecked,Imagine Dragons,2d1MywHy6FwKdzxFuSJnwl,2021-07-02,81,244004,0.626,0.148,0.56,1.51e-05,0.109,0.229,-5.82,0.0288,93.989,0,4
Is It Just Me? (feat. JP Cooper),Is It Just Me?,Emily Burns,754zNJgoWQaGETFzSYVlmC,2020-12-04,68,203300,0.478,0.688,0.339,0.0,0.104,0.288,-7.355,0.0544,145.441,4,4
Best I'll Ever Sing,Best I'll Ever Sing,Maisie Peters,37a0RMpwwQjgIkLoEePwXa,2018-07-20,57,199141,0.34,0.531,0.288,0.0,0.134,0.322,-7.937,0.0321,89.033,4,4
Why Don't You Love Me (feat. Demi Lovato),Whatever,Hot Chelle Rae,0cEBv7oJxFp3bfTFqWFI0R,2011-11-25,62,211413,0.53,0.121,0.802,0.0,0.118,0.566,-6.494,0.0362,148.054,2,3
Dear No One,Foreword,Tori Kelly,2wWboDFZJPWXVNlHUbdSVQ,2013-01-01,70,197846,0.627,0.126,0.592,0.0,0.111,0.462,-5.977,0.314,167.882,6,4
Break My Broken Heart,Break My Broken Heart,Winona Oak,2UfDeOnKQgquiKyStdgCDj,2019-08-08,0,214715,0.526,0.0929,0.561,6.54e-05,0.103,0.293,-8.27,0.0429,164.938,7,3
Somebody Else,Somebody Else,VÉRITÉ,34i4yxPrHWquuR4kjiivFO,2016-09-09,58,233076,0.674,0.201,0.593,0.000529,0.209,0.464,-6.47,0.0582,116.995,11,4
Since U Been Gone - Acoustic Version,Since U Been Gone,Thomas Daniel,4iObEYRE4FLm0D90gmZFef,2019-08-23,54,221170,0.538,0.847,0.162,0.0,0.114,0.366,-13.31,0.0299,94.981,5,4
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,83,220492,0.736,0.946,0.308,0.0,0.186,0.361,-7.83,0.0677,111.202,4,4
Running Low,Handwritten (Revisited),Shawn Mendes,2ePgwid1o7NKDpUmNGC69b,2015-11-20,63,274586,0.599,0.709,0.297,3.13e-06,0.108,0.141,-9.188,0.0301,122.314,0,4
Lonely - Mahogany Sessions,Lonely (Mahogany Sessions),Violet Skies,1WVpCn4WGCrgGXhhtyUzyM,2021-01-14,43,217049,0.372,0.819,0.178,1.79e-06,0.115,0.362,-9.51,0.0506,183.403,7,4
Gone,Gone,ELI,2mD8ODdKo0y165EtmfAHqN,2021-02-05,51,155701,0.781,0.585,0.591,0.0,0.0907,0.632,-5.989,0.0417,93.075,0,4
This Kind of Heavy,This Kind of Heavy,Belle Mt.,1uINT6Vl2hbqhFsBY4RGo1,2020-10-16,46,222166,0.616,0.231,0.286,2.2e-05,0.109,0.142,-9.017,0.0289,140.014,3,4
Bubbly,Coco,Colbie Caillat,0rFOs9paloAvEtzwDX1Kmc,2007-01-01,70,196280,0.697,0.603,0.474,0.0,0.11,0.249,-6.663,0.0351,127.904,9,4
Breakups,Breakups,Seaforth,77Bt2DXJE1R1qsnm4D10Ox,2021-01-14,67,223129,0.531,0.436,0.552,0.0,0.0786,0.328,-5.945,0.0309,74.931,1,3
Love You From a Distance,Love You From a Distance,Ashley Kutcher,7y8Qy4I0VWGMEbZvZ0C9x7,2020-10-30,66,204000,0.333,0.557,0.538,0.0,0.0977,0.63,-8.653,0.0325,149.377,4,4
Berlin,Dawn,RY X,7BSMSvK0WxrDeI98bswYa8,2016-05-06,61,174172,0.393,0.963,0.0668,0.105,0.107,0.0384,-20.755,0.0404,136.938,7,4
You Said,You Said (with Zach Oliver),Ronnie Watts,42oCzRO2NUsPm69XsJphvP,2021-03-26,43,188315,0.361,0.609,0.34,0.0,0.086,0.204,-7.956,0.0318,102.014,3,4
Life Of The Party,Life Of The Party,Shawn Mendes,6L6ra9mTlyQPmh7zGw58y1,2014-06-26,0,214120,0.662,0.0509,0.612,0.0,0.0948,0.177,-4.993,0.0311,113.95,10,4
