name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Passion,Passion,Marihiko Hara,6maVLzdqxZgi7h07zU5U0V,2020-03-30,35,256560,0.597,0.985,0.0409,0.953,0.111,0.148,-19.863,0.17,73.092,10,4
October stroll,October stroll,Jutila,0djBbURQR8Zu4SD4K48lzJ,2019-11-15,43,129250,0.468,0.994,0.0282,0.922,0.141,0.329,-28.772,0.0415,95.767,7,3
For Ruby,The Loop,Dominic Walton,2LEDOIkhBTy39iu4OPE1Qk,2020-04-23,39,167880,0.492,0.988,0.0503,0.963,0.133,0.215,-19.937,0.0584,94.341,7,3
Just Us,Lifeline,Geir Gudmundson,1QQUFiArleFKStW1ttUfoN,2020-05-08,42,215000,0.33,0.995,0.0186,0.897,0.102,0.279,-32.952,0.0512,113.636,0,4
Closure,Sweet Nostalgia,Franz Becker,4pLt09DV3FFjNTLqbxhJcO,2021-01-22,51,237874,0.399,0.995,0.0283,0.939,0.104,0.252,-33.842,0.0425,129.154,5,4
Is it Over,Amuse Bouche,Yao Chen,2CK7J3mSxn2KBfgbDoGcW2,2020-04-24,44,197750,0.435,0.995,0.0392,0.925,0.117,0.232,-28.667,0.051,73.686,1,4
Moonlight,Moonlight,Milo Edale,3uFDsOUgxcEV2PvBxf9B2Z,2019-08-10,50,157506,0.55,0.938,0.0655,0.913,0.0852,0.255,-21.791,0.0463,79.576,9,3
Dimman,Like Home,Jakob Ahlbom,0VCR5yJWXT3FQHuBFPhTm2,2019-11-22,53,151666,0.292,0.992,0.0251,0.94,0.111,0.168,-25.342,0.0398,136.0,3,4
Mid Air,Mid Air,GÅEL,5O3UGMP9XJLbshKKZHsrGN,2019-11-01,60,147936,0.524,0.995,0.0338,0.921,0.0907,0.25,-28.584,0.058,111.895,0,4
Lilou,Lilou,Oscar Melone,1sW8vdY9Q2zzX1cFsRG3rx,2020-09-10,47,137957,0.448,0.995,0.00504,0.961,0.104,0.33,-27.869,0.0439,133.119,7,4
Misérable,Misérable,Bodi Lukasz,1KVKQkKQ6pk8Hai7aKj5nx,2021-05-31,61,120000,0.454,0.992,0.0726,0.945,0.11,0.256,-25.57,0.0597,80.211,2,3
Personne d'autre que toi,Heaven,Patrick Buote,4M7jagkEBHpniJmWdntxNR,2020-05-07,48,185457,0.487,0.996,0.0357,0.94,0.0989,0.316,-24.424,0.0481,125.712,7,3
"Tout, sauf mon ombre","Tout, sauf mon ombre",Corrine Chloé,18gxWtwvPc7BtLfcL52K9i,2020-09-18,50,182949,0.322,0.995,0.00937,0.938,0.106,0.234,-32.084,0.0425,143.867,0,4
Forelsket,Forelsket,Idun Vinter,4Oo0RKYm64PZSIbpFmcuK9,2021-01-22,55,170374,0.27,0.993,0.0083,0.921,0.0984,0.234,-30.604,0.039,75.139,5,4
Almost Here,Almost Here,Marta Cascales Alimbau,69hsrgK6UtDli2C17OWO5v,2019-08-30,29,177407,0.252,0.99,0.161,0.954,0.102,0.153,-20.501,0.0361,180.813,7,3
Juniper,Winter Unflorished,James DiResta,1glbxURPMi2PpcD4AmufxL,2021-01-22,60,220000,0.36,0.993,0.0345,0.95,0.124,0.219,-33.26,0.0328,137.68,2,4
Goodnight,Goodnight,Alfredo Evans,2rro7SoKEWIrhUl1xcXOIT,2020-05-15,58,157250,0.49,0.994,0.04,0.96,0.132,0.109,-24.551,0.0545,126.591,5,4
Rigel,Cassiopeia,S.A. Karl,2P0xfFLKKis0QdJV6CUoRN,2019-02-15,40,163776,0.307,0.996,0.0146,0.915,0.101,0.286,-31.32,0.0621,175.936,11,3
Cloud Walk,Folk Dances,Martin Greenbaum,05CKxyJP3ZFRyMkY9idpCZ,2019-08-14,34,162597,0.33,0.992,0.0332,0.948,0.126,0.0583,-29.002,0.0481,121.526,1,3
Days Gone By,Days Gone By,Tiny Rhino,4vDA036RKeQjigYZmANk3Y,2020-12-11,62,188500,0.305,0.994,0.0167,0.948,0.104,0.376,-33.381,0.045,166.454,0,4
Riotous Land,Riotous Land,Vera Girondas,7AmiLjTfbAHiDXZYjEQO7d,2021-07-16,23,137600,0.723,0.994,0.0269,0.948,0.11,0.517,-26.58,0.0674,74.95,6,4
Time Will Tell,Time Will Tell,Lea Lewis,6G0iS7Lf08bZgjrdV1aRZ2,2021-01-20,53,127582,0.42,0.994,0.0452,0.932,0.105,0.26,-28.208,0.0325,126.416,8,4
Circumstances,Circumstances,Deborah Fulmen,7FyzToHhKG9b9gS19kWg8a,2021-06-25,60,166000,0.453,0.99,0.0436,0.842,0.111,0.198,-25.912,0.0364,71.987,10,4
Sway,Sway,Arabelle,2Ju3X9pULxXmfvWre8o1E4,2020-09-18,47,152124,0.421,0.992,0.0366,0.888,0.0807,0.184,-22.565,0.0411,68.768,9,3
Des ponts plutôt que des murs,Des ponts plutôt que des murs,Zdenek Lemelin,2raTq4pOKZfeg2h61gnI0L,2020-05-15,52,148000,0.619,0.996,0.0746,0.951,0.101,0.544,-25.086,0.0485,75.806,1,4
Komorebi,Komorebi,Akira Kosemura,4xoTLNpnhZcWMW8bd92l8o,2020-03-13,38,132594,0.55,0.973,0.0376,0.932,0.107,0.229,-23.386,0.0344,104.198,1,4
Under the Starry Sky,Under the Starry Sky,Daigo Hanada,4wC2AU77U3SdYKKnWKCieK,2019-05-03,0,137000,0.322,0.944,0.0305,0.944,0.103,0.381,-30.996,0.0381,104.012,5,4
